"Dataset","Package","DeepTyper type checks","LambdaNet type checks","InCoder type checks","SantaCoder type checks"
top1k-typed-nodeps-es6,is-generator-fn,1,1,1,1
top1k-typed-nodeps-es6,is-interactive,1,0,0,0
top1k-typed-nodeps-es6,is-number,0,0,0,0
top1k-typed-nodeps-es6,is-obj,1,1,1,1
top1k-typed-nodeps-es6,is-path-cwd,1,1,0,1
top1k-typed-nodeps-es6,is-path-inside,1,0,0,1
top1k-typed-nodeps-es6,is-plain-obj,0,NA,0,0
top1k-typed-nodeps-es6,is-plain-object,1,0,1,1
top1k-typed-nodeps-es6,is-promise,0,NA,0,0
top1k-typed-nodeps-es6,is-stream,1,0,0,0
top1k-typed-nodeps-es6,is-typedarray,0,0,1,0
top1k-typed-nodeps-es6,is-unicode-supported,1,1,1,1
top1k-typed-nodeps-es6,is-windows,0,0,0,0
top1k-typed-nodeps-es6,isarray,0,NA,1,1
top1k-typed-nodeps-es6,isexe,0,NA,0,0
top1k-typed-nodeps-es6,isobject,1,1,1,1
top1k-typed-nodeps-es6,isstream,1,0,1,1
top1k-typed-nodeps-es6,jest-pnp-resolver,0,0,0,0
top1k-typed-nodeps-es6,jquery,NA,0,0,0
top1k-typed-nodeps-es6,jsbn,NA,0,0,0
top1k-typed-nodeps-es6,jsesc,0,0,0,1
top1k-typed-nodeps-es6,json-buffer,0,0,1,1
top1k-typed-nodeps-es6,json-parse-better-errors,0,0,1,0
top1k-typed-nodeps-es6,json-schema,0,0,0,0
top1k-typed-nodeps-es6,json-schema-traverse,0,0,0,0
top1k-typed-nodeps-es6,json-stringify-safe,0,0,0,1
top1k-typed-nodeps-es6,kind-of,0,0,0,0
top1k-typed-nodeps-es6,kleur,0,0,0,0
top1k-typed-nodeps-es6,klona,0,0,0,0
top1k-typed-nodeps-es6,leven,0,0,0,0
top1k-typed-nodeps-es6,load-json-file,0,0,0,0
top1k-typed-nodeps-es6,loader-runner,0,0,0,0
top1k-typed-nodeps-es6,lodash,NA,0,0,0
top1k-typed-nodeps-es6,loglevel,0,0,0,0
top1k-typed-nodeps-es6,lowercase-keys,1,1,1,1
top1k-typed-nodeps-es6,make-error,0,0,0,0
top1k-typed-nodeps-es6,map-obj,0,0,0,1
top1k-typed-nodeps-es6,media-typer,0,0,0,1
top1k-typed-nodeps-es6,merge-descriptors,0,0,1,1
top1k-typed-nodeps-es6,merge-stream,1,0,0,0
