"System","Dataset","Package","Number of function signatures compared","Number of correct annotations","Number of inferred anys","Number of annotations checked","Number of ground truth anys skipped"
deeptyper,top1k-typed-nodeps-es6,vary,2,0,4,6,0
deeptyper,top1k-typed-nodeps-es6,webpack-sources,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,word-wrap,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,xml-name-validator,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,xtend,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,yallist,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,yn,0,0,0,0,0
deeptyper,top1k-typed-nodeps-es6,yocto-queue,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,@sinonjs_commons,3,1,2,5,1
deeptyper,top1k-typed-with-typed-deps-es6,accepts,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,anymatch,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,are-we-there-yet,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,asn1,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,brace-expansion,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,braces,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,call-bind,1,1,0,2,1
deeptyper,top1k-typed-with-typed-deps-es6,color,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,color-string,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,compressible,1,0,1,2,0
deeptyper,top1k-typed-with-typed-deps-es6,cssstyle,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,dashdash,7,2,7,14,0
deeptyper,top1k-typed-with-typed-deps-es6,debug,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,defaults,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,duplexify,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,end-of-stream,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,eslint-utils,17,1,11,41,0
deeptyper,top1k-typed-with-typed-deps-es6,fb-watchman,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,file-entry-cache,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,fill-range,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,flush-write-stream,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,from2,1,0,3,3,0
deeptyper,top1k-typed-with-typed-deps-es6,fs-extra,10,10,23,34,2
deeptyper,top1k-typed-with-typed-deps-es6,get-intrinsic,1,1,1,3,0
deeptyper,top1k-typed-with-typed-deps-es6,getpass,1,1,2,3,0
deeptyper,top1k-typed-with-typed-deps-es6,glob-parent,1,2,1,3,0
deeptyper,top1k-typed-with-typed-deps-es6,global-dirs,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,global-modules,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,global-prefix,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,has,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,hash.js,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,hoist-non-react-statics,0,0,0,0,0
deeptyper,top1k-typed-with-typed-deps-es6,html-encoding-sniffer,0,0,0,0,0
